kde,prefix,LogLikelihood,Bandwidth,trained.on,evaluated.on,query.size,query.id,result.file
kendall,prefix,kendalls.tau,split,query.size,query.id,result.file
ndcg,prefix,ndcg.at,split,fraction.at,at,query.size,query.id,result.file
map,prefix,map.relevant,split,fraction.relevant,relevant,query.size,query.id,result.file
precision,prefix,precision.at.relevant,split,fractions.relevant,fractions.at,relevant,at,query.size,query.id,result.file
kendall,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.7055495302191602,eval,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9485279994759982,eval,0.01,157,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9400232232164378,eval,0.05,785,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9489466707317719,eval,0.1,1571,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9583146182150664,eval,0.15,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9627920099825633,eval,0.2,3142,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9658525213325067,eval,0.25,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9687540816684348,eval,0.3,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9740068140037862,eval,0.4,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9779272412943909,eval,0.5,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.09188846778027125,eval,0.01,157,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.12487341772151903,eval,0.01,0.01,157,157,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.0943002544529262,eval,0.01,0.05,157,785,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.07176208651399492,eval,0.01,0.1,157,1571,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.05748408994484512,eval,0.01,0.15,157,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.04630925867006044,eval,0.01,0.2,157,3142,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.03768584521384928,eval,0.01,0.25,157,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.031885871871022486,eval,0.01,0.3,157,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.02474144789180586,eval,0.01,0.4,157,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.019984725050916464,eval,0.01,0.5,157,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.42351946197106904,eval,0.05,785,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.4539185750636134,eval,0.05,0.05,785,785,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.34316157760814275,eval,0.05,0.1,785,1571,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.27866779804836667,eval,0.05,0.15,785,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.22701877187400565,eval,0.05,0.2,785,3142,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.19051171079429746,eval,0.05,0.25,785,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.16136402206194306,eval,0.05,0.3,785,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.12410501193317444,eval,0.05,0.4,785,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.09992362525458262,eval,0.05,0.5,785,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.5995839481160171,eval,0.1,1571,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.5774936386768451,eval,0.1,0.1,1571,1571,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.5033771743742046,eval,0.1,0.15,1571,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.42973910276805605,eval,0.1,0.2,1571,3142,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.36606924643584526,eval,0.1,0.25,1571,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.3163534153585067,eval,0.1,0.3,1571,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.2474781225139221,eval,0.1,0.4,1571,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.19937881873727076,eval,0.1,0.5,1571,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.7118615445045826,eval,0.15,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.669189647857446,eval,0.15,0.15,2356,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.5904772510340442,eval,0.15,0.2,2356,3142,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.5172886965376783,eval,0.15,0.25,2356,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.4582074671192195,eval,0.15,0.3,2356,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.36663802704852827,eval,0.15,0.4,2356,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.2986672606924647,eval,0.15,0.5,2356,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
